iter	TotalF1	MultiClass
525	1	0.08374383389
526	1	0.08357878097
527	1	0.08340439859
528	1	0.08317443388
529	1	0.08298727314
530	1	0.08277754715
531	1	0.08254740138
532	1	0.08234742849
533	1	0.08217075329
534	1	0.08194989886
535	1	0.08180429949
536	1	0.08151247722
537	1	0.08124694845
538	1	0.08109312947
539	1	0.08092054841
540	1	0.08074578329
541	1	0.08050828679
542	1	0.08033492251
543	1	0.08011345785
544	1	0.07999396764
545	1	0.07960378889
546	1	0.07941995128
547	1	0.07922047185
548	1	0.07899010525
549	1	0.07888298175
550	1	0.07880602891
551	1	0.07854761378
552	1	0.07841590233
553	1	0.07823790324
554	1	0.07799920787
555	1	0.07789675304
556	1	0.07766013513
557	1	0.07752382221
558	1	0.07739520398
559	1	0.07727748688
560	1	0.07706629005
561	1	0.07681604841
562	1	0.07670000942
563	1	0.07646003555
564	1	0.07621487721
565	1	0.07601534042
566	1	0.075852601
567	1	0.07568303246
568	1	0.07552710716
569	1	0.07536777767
570	1	0.07518940227
571	1	0.07502253499
572	1	0.07488119981
573	1	0.07478900391
574	1	0.07465300184
575	1	0.0744410803
576	1	0.07428038771
577	1	0.07409424082
578	1	0.07395599029
579	1	0.07381488203
580	1	0.07363897012
581	1	0.0735406544
582	1	0.0734084569
583	1	0.07322370309
584	1	0.07309140242
585	1	0.07294468074
586	1	0.07281331837
587	1	0.07260983919
588	1	0.07245341966
589	1	0.07237990001
590	1	0.07227831242
591	1	0.07217677975
592	1	0.07201151293
593	1	0.07192156041
594	1	0.07170971547
595	1	0.07143275743
596	1	0.07127174576
597	1	0.07112882597
598	1	0.07101623382
599	1	0.07086018334
600	1	0.07076714477
601	1	0.07064427851
602	1	0.07056277028
603	1	0.07042635506
604	1	0.07026557664
605	1	0.07007005138
606	1	0.06990929495
607	1	0.06972676791
608	1	0.06959417708
609	1	0.0694792201
610	1	0.06940521989
611	1	0.06925919716
612	1	0.06911880429
613	1	0.06900006488
614	1	0.06889717847
615	1	0.06881756527
616	1	0.06869032776
617	1	0.06852393332
618	1	0.06839245859
619	1	0.06830187219
620	1	0.06815436316
621	1	0.06802807972
622	1	0.06798427352
623	1	0.06786843509
624	1	0.06779006902
625	1	0.06764933511
626	1	0.06741928859
627	1	0.06724427915
628	1	0.06701901038
629	1	0.06692592502
630	1	0.06681240615
631	1	0.0666675506
632	1	0.06654021046
633	1	0.06637105497
634	1	0.0662672668
635	1	0.06618504334
636	1	0.06604741922
637	1	0.065985891
638	1	0.0658646845
639	1	0.06569020991
640	1	0.0655575398
641	1	0.06547163979
642	1	0.06533510219
643	1	0.06520917843
644	1	0.06504671048
645	1	0.06492476164
646	1	0.06475413418
647	1	0.06467188918
648	1	0.06451627875
649	1	0.0644483309
650	1	0.0643008737
651	1	0.06417324173
652	1	0.06397365589
653	1	0.06388033901
654	1	0.06374376922
655	1	0.06362574975
656	1	0.06348387943
657	1	0.06336607784
658	1	0.06325895115
659	1	0.06316230096
660	1	0.06309042477
661	1	0.06297247982
662	1	0.06280886454
663	1	0.06272719707
664	1	0.06254141061
665	1	0.06240371001
666	1	0.06230521478
667	1	0.06216325512
668	1	0.06207551534
669	1	0.06192080166
670	1	0.06182598674
671	1	0.06173163399
672	1	0.06160112427
673	1	0.06147490334
674	1	0.06137433321
675	1	0.0612455455
676	1	0.06114450437
677	1	0.06107249166
678	1	0.06099771333
679	1	0.06092598747
680	1	0.06081505446
681	1	0.06065643458
682	1	0.06048402355
683	1	0.06039042566
684	1	0.0602456197
685	1	0.06012668202
686	1	0.06007991155
687	1	0.0599693538
688	1	0.05979888415
689	1	0.0597068075
690	1	0.05956488282
691	1	0.05948330198
692	1	0.05928097508
693	1	0.0591924259
694	1	0.05907874285
695	1	0.05893790905
696	1	0.0588774109
697	1	0.05880490214
698	1	0.0587108023
699	1	0.05860717311
700	1	0.05849324944
701	1	0.05841565443
702	1	0.05826935785
703	1	0.05818475357
704	1	0.0580815368
705	1	0.05803366089
706	1	0.05789821359
707	1	0.05783572745
708	1	0.05772141289
709	1	0.05764587501
710	1	0.05755028927
711	1	0.05741275146
712	1	0.05733784891
713	1	0.05724364419
714	1	0.05714393105
715	1	0.05702483938
716	1	0.05690726642
717	1	0.05682801327
718	1	0.056756883
719	1	0.05662479674
720	1	0.05652339017
721	1	0.05642692409
722	1	0.05635055702
723	1	0.0562460319
724	1	0.05609410657
725	1	0.05600416382
726	1	0.05587290508
727	1	0.05575970496
728	1	0.05568469744
729	1	0.05557379769
730	1	0.05544788314
731	1	0.05534314152
732	1	0.05523228459
733	1	0.05513640296
734	1	0.05503532981
735	1	0.0549635892
736	1	0.05491257524
737	1	0.05483179539
738	1	0.05469597859
739	1	0.05457206875
740	1	0.05453483091
741	1	0.05444914004
742	1	0.05430121822
743	1	0.05421513367
744	1	0.05410463592
745	1	0.05401542671
746	1	0.05396390022
747	1	0.05388942872
748	1	0.05375259098
749	1	0.05367594776
750	1	0.05359088939
751	1	0.05347362467
752	1	0.05338141903
753	1	0.05331474045
754	1	0.05319207361
755	1	0.05312146121
756	1	0.05304916844
757	1	0.05297948793
758	1	0.05288241603
759	1	0.05277333705
760	1	0.05267083225
761	1	0.05258382651
762	1	0.05250086454
763	1	0.052374485
764	1	0.05225501018
765	1	0.05216653479
766	1	0.05211714123
767	1	0.05205132907
768	1	0.05196894484
769	1	0.05186287783
770	1	0.05177464188
771	1	0.0516757783
772	1	0.05157030703
773	1	0.05148540234
774	1	0.05140553081
775	1	0.05129182064
776	1	0.05119040566
777	1	0.05111029003
778	1	0.05103302102
779	1	0.05092267932
780	1	0.05082246353
781	1	0.05074708708
782	1	0.05063507242
783	1	0.05055813085
784	1	0.0504690001
785	1	0.05041823726
786	1	0.05033661343
787	1	0.05022928202
788	1	0.05009853844
789	1	0.0500023506
790	1	0.04987207639
791	1	0.04982500114
792	1	0.04973401402
793	1	0.04967906784
794	1	0.049563958
795	1	0.04946566121
796	1	0.04940280116
797	1	0.04935638973
798	1	0.04929889962
799	1	0.04918519227
800	1	0.04909071965
801	1	0.04902473396
802	1	0.04893053604
803	1	0.0488631212
804	1	0.04881311449
805	1	0.04872991174
806	1	0.04865060993
807	1	0.04858249039
808	1	0.04851656141
809	1	0.04839483984
810	1	0.04835171172
811	1	0.04824917419
812	1	0.04813275334
813	1	0.04802347107
814	1	0.04797740149
815	1	0.04786338845
816	1	0.0477866913
817	1	0.04767783499
818	1	0.04758460623
819	1	0.04750534086
820	1	0.04743583531
821	1	0.04733901434
822	1	0.04725084694
823	1	0.04718953051
824	1	0.04711538988
825	1	0.04706685559
826	1	0.04700168074
827	1	0.04695610299
828	1	0.04683183836
829	1	0.04678769966
830	1	0.04669245269
831	1	0.0466117052
832	1	0.04651104822
833	1	0.04645929062
834	1	0.04638497903
835	1	0.04632828575
836	1	0.04627985889
837	1	0.04619031341
838	1	0.04610746486
839	1	0.04602743336
840	1	0.04590564142
841	1	0.04580329015
842	1	0.045749006
843	1	0.04562523754
